airport_id,ident,name,city,tower_frequency,is_closed,num_runway_water,num_helipad,longest_runway_length,longest_runway_width,num_runways,rating,altitude,lonx,laty
1,UHMI,Mys Shmidta Airport,Egvekinot,None,0,0,0,8169,193,1,3,3,-179.3755341,68.86857605
3,PALU,Cape Lisburne Lrrs,Cape Lisburne,None,0,0,0,5152,206,1,3,13,-166.1118317,68.87518311
4,PAPO,Point Hope,Point Hope,None,0,0,0,3998,75,1,3,18,-166.7992859,68.34874725
7,Z53,Cape Sabine,Cape Beaufort,None,0,0,0,3059,100,1,0,245,-163.8580627,69.02394867
8,PPIZ,Point Lay Lrrs,Point Lay,None,0,0,0,4930,147,1,3,23,-163.0052795,69.73288727
9,2AK8,Icy Cape AFS,Icy Cape,None,0,0,0,3497,82,1,2,48,-161.9049835,70.29421997
10,PAVL,Kivalina,Kivalina,None,0,0,0,3249,60,1,3,17,-164.5630341,67.73590851
11,PAWN,Noatak,Noatak,None,0,0,0,4910,149,1,3,88,-162.9799042,67.56161499
17,PAWT,Wainwright AS,Wainwright,None,0,0,0,3081,96,1,1,35,-159.8638458,70.61380005
18,PAWI,Wainwright,Wainwright,None,0,0,0,5030,153,1,3,41,-159.9945526,70.6379776
21,PABR,Wiley Post-Will Rogers Memoria,Barrow,None,0,0,0,6701,149,1,3,44,-156.7653961,71.28548431
22,PABO,Point Barrow LRRS Airstrip,Barrow,None,0,0,0,4516,144,1,3,29,-156.6362152,71.3391571
23,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,None,0,0,0,5017,167,1,3,100,-157.4356995,70.46713257
24,0AK2,Cape Simpson,Cape Simpson,None,0,0,0,1929,64,1,3,11,-154.7380066,71.05806732
29,AK71,Lonely AS,Lonely,None,0,0,0,4518,142,1,3,17,-153.2360077,70.91107178
30,3AK9,Kogru River,Kogru River,None,0,0,0,1383,85,1,2,29,-152.2588043,70.5742569
31,PALP,Alpine Airstrip,Deadhorse,None,0,0,0,5132,159,1,3,21,-150.9452362,70.34413147
32,AK20,Cd-3 Airstrip,Nuiqsut,None,0,0,0,3007,89,1,3,7,-150.8892517,70.4199295
37,4AK1,Inigok,Deadhorse,None,0,0,0,5000,137,1,0,175,-153.0775604,70.00382996
38,PAUM,Umiat,Umiat,None,0,0,0,5596,100,1,3,267,-152.1350403,69.37111664
39,PAQT,Nuiqsut,Nuiqsut,None,0,0,0,5078,162,1,3,41,-151.0070953,70.20976257
40,PAKP,Anaktuvuk Pass,Anaktuvuk Pass,None,0,0,0,5452,112,1,3,2079,-151.7432861,68.13365173
45,PADK,Adak,Adak I,None,0,0,0,7848,202,2,3,18,-176.646225,51.87794876
47,UHMD,Provideniya Bay,Provideniya Bay,119.300Mhz,0,0,0,5934,217,1,3,46,-173.2433472,64.3782196
49,PAAK,Atka,Atka,None,0,0,0,4756,83,1,3,44,-174.2062988,52.22053528
51,PASN,St Paul Island,St Paul I,None,0,0,0,6456,144,1,3,53,-170.2225647,57.16635513
52,PAPB,St George,St George,None,0,0,0,4964,147,1,3,125,-169.663681,56.57735825
55,PAKO,Nikolski As,Nikolski,None,0,0,0,3190,63,1,3,60,-168.849411,52.94152451
57,PASH,Shishmaref,Shishmaref,None,0,0,0,4966,73,1,3,13,-166.0894318,66.24958038
58,PAIW,Wales,Wales,None,0,0,0,4613,176,1,3,21,-168.094986,65.62259674
59,3Z1,Feather River,Feather River,None,0,0,0,1253,161,1,3,325,-166.1337128,64.83260345
60,PATE,Teller,Teller,None,0,0,0,2994,37,1,3,289,-166.339325,65.24037933
61,PAPC,Port Clarence Cgs,Port Clarence,None,0,0,0,4484,97,1,3,5,-166.8577118,65.25348663
62,PFKT,Brevig Mission,Brevig Mission,None,0,0,0,3451,166,2,3,36,-166.466217,65.33142853
63,Z81,Salmon Lake,Salmon Lake,None,0,0,0,2053,68,1,3,493,-165.0150452,64.90898132
71,94Z,Nome City,Nome,None,0,0,0,2006,132,1,3,61,-165.390213,64.51144409
72,PAOM,Nome,Nome,None,0,0,0,6164,150,2,3,25,-165.4445038,64.51251984
73,Z47,Basin Creek,Basin Creek,None,0,0,0,2008,75,1,0,140,-165.2993927,64.67909241
77,PACZ,Cape Romanzof Lrrs,Cape Romanzof,None,0,0,0,3927,176,1,3,420,-166.0394592,61.7810173
78,PAHP,Hooper Bay,Hooper Bay,None,0,0,0,3270,86,1,3,18,-166.146698,61.52388
79,PACM,Scammon Bay,Scammon Bay,None,0,0,0,2995,74,1,0,15,-165.5737152,61.84456253
80,PAVA,Chevak,None,None,0,0,0,3251,107,1,3,53,-165.6009369,61.54082108
81,PAOO,Toksook Bay,Toksook Bay,None,0,0,0,3663,130,1,3,61,-165.0872192,60.54132462
82,PAMY,Mekoryuk,Mekoryuk,None,0,0,0,3648,163,1,3,53,-166.2702332,60.37238693
89,PAUT,Akutan,None,None,0,0,0,4502,75,1,3,121,-165.604126,54.14459991
90,PAAM,Driftwood Bay Air Force Station,Dutch Harbor,None,0,0,0,3466,105,1,3,24,-166.8575287,53.97201538
91,PADU,Unalaska,Unalaska,None,0,0,0,4132,102,1,3,18,-166.5450745,53.89893341
95,PAUA,Cape Field at Fort Glenn,Unalaska,None,0,0,0,7059,293,3,3,94,-167.8923492,53.37697983
97,PAOT,Ralph Wien Memorial,Kotzebue,None,0,0,0,6272,143,2,3,13,-162.6009979,66.88389587
98,5QC,Quartz Creek Kougarok,Quartz Creek,None,0,0,0,3295,97,1,1,416,-164.6600494,65.40787506
99,K29,Council,Council,None,0,0,0,3341,92,1,2,94,-163.7036285,64.89680481
100,PAWM,White Mountain,White Mountain,None,0,0,0,3508,100,1,3,244,-163.412735,64.68915558
101,2AK9,Independence Creek,Independence Creek,None,0,0,0,1713,82,1,2,250,-162.4598846,65.67341614
102,PADE,Deering,Deering,None,0,0,0,3660,59,2,3,23,-162.7670441,66.06921387
103,PAGZ,Granite Mountain AS,Granite Mountain,None,0,0,0,3971,144,1,3,1273,-161.2814331,65.40196991
111,AK26,Solomon State Field,Solomon,None,0,0,0,1629,46,1,3,25,-164.446167,64.56023407
112,PFEL,Elim,Elim,None,0,0,0,4054,129,1,3,143,-162.2706757,64.61487579
113,GLV,Golovin,Golovin,None,0,0,0,1998,48,1,1,50,-163.0387268,64.54381561
114,PAGL,Golovin,Golovin,None,0,0,0,4000,72,1,3,53,-163.0071716,64.55045319
